uai - identifiant;Code commune
0311384L;31555
0341089Z;34172
0421095M;42218
0490970N;49007
0595964M;59183
0640251A;64445
0751719L;75105
0751721N;75106
0751723R;75113
0781944P;78646
0830766G;83062
0931827F;93066
0941111X;94028
7200664J;28096
9710585J;97120
0301687W;30189
0342321N;34172
0370800U;37261
0593279U;59032
0691775E;69387
0692437Z;69387
0751718K;75105
0751720M;75105
0751722P;75105
0801344B;80021
0911101C;91471
0951793H;95127
0171463Y;17300
0211237F;21231
0311383K;31555
0331766R;33318
0350937D;35238
0561718N;56121
0593559Y;59009
0593561A;59009
0623957P;62041
0673021V;67482
0730858L;73065
0134009M;13207
0141408E;14118
0251215K;25056
0333298F;33063
0383493R;38421
0450855K;45234
0511296G;51454
0593560Z;59350
0632035V;63113
0660437S;66136
0720916E;72181
0761904G;76451
0762762P;76351
0772502B;77083
0840685N;84007
0870669E;87085
0911975C;91228
0921204J;92050
0931238R;93079
9830445S;98818
0060931E;6088
0290346U;29019
0311382J;31555
0350936C;35238
0440984F;44109
0681166Y;68224
0691774D;69266
0751717J;75105
0860856N;86194
9730429D;97302
9740478B;97411
9840349G;98738
