Code département;Code commune
D031;31555
D034;34172
D042;42218
D049;49007
D059;59183
D064;64445
D075;75105
D075;75106
D075;75113
D078;78646
D083;83062
D093;93066
D094;94028
D02B;28096
D971;97120
D030;30189
D034;34172
D037;37261
D059;59032
D069;69387
D069;69387
D075;75105
D075;75105
D075;75105
D080;80021
D091;91471
D095;95127
D017;17300
D021;21231
D031;31555
D033;33318
D035;35238
D056;56121
D059;59009
D059;59009
D062;62041
D067;67482
D073;73065
D013;13207
D014;14118
D025;25056
D033;33063
D038;38421
D045;45234
D051;51454
D059;59350
D063;63113
D066;66136
D072;72181
D076;76451
D076;76351
D077;77083
D084;84007
D087;87085
D091;91228
D092;92050
D093;93079
D988;98818
D006;6088
D029;29019
D031;31555
D035;35238
D044;44109
D068;68224
D069;69266
D075;75105
D086;86194
D973;97302
D974;97411
D987;98738
