uai - identifiant;Libellé;Site internet;Géolocalisation;Code académie;Académie;Adresse;Code postal;Localité;Pays;Numéro de téléphone;compte_facebook;compte_twitter;compte_flickr;flux_rss;compte_linkedin;compte_pinterest;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_viadeo;compte_dailymotion;compte_vimeo;compte_youtube;compte_googleplus;autres;Effectifs d'étudiants inscrits 2014-15
0311384L;Université de Toulouse 3 - Paul Sabatier;http://www.univ-tlse3.fr/;43.5608, 1.46936;A16;Toulouse;118 ROUTE DE NARBONNE;31062;TOULOUSE CEDEX;France;561556611;https://www.facebook.com/ut3paulsabatier;https://twitter.com/UT3PaulSabatier;;http://www.univ-tlse3.fr/1416629//fiche___pagelibre/&RH=ACCUEIL;http://www.linkedin.com/groups?home=&gid=62742&trk=anet_ug_hm;;http://plus.franceculture.fr/partenaires/toulouse-iii-paul-sabatier;;;;;;;https://www.youtube.com/user/PoleCommunicationUPS?ob=&feature=results_main;https://plus.google.com/13399976387287921/posts;;29485
0341089Z;Université Montpellier 3 - Paul-Valéry;http://www.univ-montp3.fr/;43.6326, 3.86938;A11;Montpellier;ROUTE DE MENDE;34199;MONTPELLIER CEDEX 5;France;467142000;https://www.facebook.com/pages/Universit%C3%A9-Paul-Val%C3%A9ry-Montpellier-III/9111853389;https://twitter.com/univpaulvalery;;http://www.univ-montp3.fr/index.php?format=feed&type=rss;;;;;;;;;;;;;18369
0421095M;Université Jean Monnet;http://portail.univ-st-etienne.fr/;45.4249, 4.39294;A10;Lyon;10 RUE TREFILERIE;42023;ST ETIENNE CEDEX 2;France;477421700;https://www.facebook.com/Universite.Jean.Monnet.Saint.Etienne;https://twitter.com/Univ_St_Etienne;;;;;;;;;http://fr.viadeo.com/fr/profile/angela.sequeira1;;;https://www.youtube.com/user/UniJeanMonnetUJM;;;17163
0490970N;Université d'Angers;http://www.univ-angers.fr/;47.478, -0.548273;A17;Nantes;40 RUE DE RENNES;49035;ANGERS CEDEX 1;France;241962323;https://www.facebook.com/univangers;https://twitter.com/UnivAngers;http://www.flickr.com/photos/universiteangers/;http://www.univ-angers.fr/fr/index/flux-rss-1.html;;;;;;;;;;;;;21220
0595964M;Université du Littoral Côte d'Opale;http://www.univ-littoral.fr/;51.0391, 2.37216;A09;Lille;1 PLACE DE L'YSER;59375;DUNKERQUE CEDEX 1;France;328237373;https://www.facebook.com/pages/Universit%C3%A9-du-Littoral-C%C3%B4te-dOpale-ULCO/11878222481491;https://twitter.com/Univ_Littoral;;;;;;;;;;;;;https://plus.google.com/+lille3/posts;Podcast - http://podcast.univ-littoral.fr/;9669
0640251A;Université de Pau et des Pays de l'Adour;http://www.univ-pau.fr/;43.3113, -0.363823;A04;Bordeaux;AVENUE DE L UNIVERSITE;64012;PAU UNIVERSITE CEDEX;France;559407000;https://www.facebook.com/pages/Universit%C3%A9-de-Pau-et-des-Pays-de-lAdour-UPPA/154751851238234?v=wall;https://twitter.com/universite_uppa;;http://www.univ-pau.fr/live/Flux-RSS;;;;;;;;;;;;;11774
0751719L;Université Sorbonne Nouvelle - Paris 3;http://www.univ-paris3.fr/;48.8489, 2.34313;A01;Paris;17 RUE DE LA SORBONNE;75230;PARIS CEDEX 05;France;140462897;https://www.facebook.com/SorbonneNouvelleP3;https://twitter.com/SorbonneParis3;;http://www.univ-paris3.fr/adminsite/webservices/export_rss.jsp?NOMBRE=10&CODE_RUBRIQUE=&LANGUE=0#KLINK#KLINK;https://www.linkedin.com/edu/school?id=12559&trk=edu-cp-title;;http://plus.franceculture.fr/partenaires/paris-3-sorbonne-nouvelle;;;;;;;;;;16882
0751721N;Université Paris Descartes;http://www.univ-paris5.fr/;48.8512, 2.34077;A01;Paris;12 RUE DE L'ECOLE DE MEDECINE;75270;PARIS CEDEX 06;France;140461616;https://www.facebook.com/UniversiteParisDescartes?fref=ts;https://twitter.com/UParisDescartes;;http://www.parisdescartes.fr/rss/feed/news_descartes;https://www.linkedin.com/uas/connect/user-signin?session_redirect=http%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fcws%2Flogin-popup;;;;;;http://fr.viadeo.com/fr/company/universite-paris-descartes;;;;;;32978
0751723R;Université Paris Diderot;http://www.univ-paris-diderot.fr/;48.8302, 2.3807;A01;Paris;5 RUE THOMAS MANN;75205;PARIS CEDEX 13;France;144274427;https://www.facebook.com/univparisdiderot;https://twitter.com/ParisDiderot;;http://www.univ-paris-diderot.fr/universite/rssActu1.php;;;;;;;;;;;;;23250
0781944P;Université de Versailles Saint-Quentin-en-Yvelines;http://www.uvsq.fr/;48.7996, 2.1417;A25;Versailles;55 AVENUE DE PARIS;78035;VERSAILLES CEDEX;France;139257800;https://www.facebook.com/UVSQ.78?ref=ts;https://twitter.com/uvsq;;;;;;;;;;;;;;;15799
0830766G;Université du Sud Toulon - Var;http://www.univ-tln.fr/;43.1369, 6.01684;A23;Nice;AVENUE DE L'UNIVERSITE;83957;LA GARDE CEDEX;France;494142000;https://www.facebook.com/pages/Universit%C3%A9-de-Toulon/155673624745?v=wall;https://twitter.com/univtoulon;http://www.flickr.com/photos/univ-sud-toulon-var/;http://www.univ-tln.fr/backend.php3;;;http://plus.franceculture.fr/partenaires/toulon;;;;;;;http://www.youtube.com/user/univtoulon/feed;;;8760
0931827F;Université Paris 8 - Vincennes - Saint-Denis;http://www.univ-paris8.fr/;48.946, 2.36213;A24;Créteil;2 RUE DE LA LIBERTE;93526;ST DENIS CEDEX;France;149406789;https://www.facebook.com/Paris8;https://twitter.com/UnivParis8;;http://www.univ-paris8.fr/?page=backend;;;;;;;;;;;;;21802
0941111X;Université Paris-Est Créteil Val-de-Marne;http://www.u-pec.fr/;48.7888, 2.44239;A24;Créteil;61 AVENUE DU GENERAL DE GAULLE;94010;CRETEIL CEDEX;France;145171000;https://www.facebook.com/pages/Universit%C3%A9-Paris-Est-Cr%C3%A9teil-UPEC/253616496359;https://twitter.com/UPECactus;;http://www.u-pec.fr/adminsite/webservices/export_rss.jsp;;;;;;;;http://www.dailymotion.com/UPEC;;;https://plus.google.com/+upemlv/posts;;25575
7200664J;Université de Corse Pasquale Paoli;http://www.univ-corse.fr/;42.3065, 9.15214;A27;Corse;7 AVENUE J NICOLI;20250;CORTE;France;495450000;https://www.facebook.com/univcorse;https://twitter.com/UnivCorse;;http://www.univ-corse.fr/rss.html;https://www.linkedin.com/edu/school?id=12495;;http://plus.franceculture.fr/partenaires/corse-pasquale-paoli;;;;http://fr.viadeo.com/fr/company/universite-de-corse-pasquale-paoli;http://www.dailymotion.com/univcorse;;http://www.youtube.com/user/univcorse;https://plus.google.com/+univcorse;;3703
9710585J;Université des Antilles;http://www.univ-ag.fr/;16.2221, -61.5362;A32;Guadeloupe;;97157;POINTE A PITRE CEDEX;France;590483030;;https://twitter.com/UnivAntilles;;http://www.univ-ag.fr/fr/rss.xml;;;;https://fr.scribd.com/UniversiteAntilles;;;;;;https://www.youtube.com/user/UnivAntillesGuyaneTV;https://plus.google.com/111372496716352018171/about;;9845
0301687W;Université de Nîmes;http://www.unimes.fr/;43.8429, 4.35671;A11;Montpellier;RUE DU DOCTEUR GEORGES SALAN;30021;NIMES CEDEX 1;France;;https://www.facebook.com/unimesfr;https://twitter.com/unimesfr;;http://www.unimes.fr/_plugins/web/zoneItem/fd1178-e8c1-457-a939-85d1a4f8cf31/rss.xml;;;;;;;;;;;;;3965
0342321N;Université de Montpellier;http://www.umontpellier.fr/;43.59848, 3.896874;A11;Montpellier;163 RUE AUGUSTE BROUSSONET;34090;MONTPELLIER;France;;https://www.facebook.com/univmontpellier;https://twitter.com/umontpellier;;;;;;;;;;;;;;http://www.umontpellier.fr/videos/;39082
0370800U;Université François-Rabelais;http://www.univ-tours.fr/;47.3837, 0.672511;A18;Orléans-Tours;60 RUE RUE DU PLAT D'ETAIN;37000;TOURS;France;247366600;https://www.facebook.com/univ.tours?ref=mf;https://twitter.com/UnivTours;;;;;;;;;;;;;;;23495
